energia_eV,E_minus_EF_eV,energia_meV,DOS_electronica
-11.0,-19.924,-19924.0,0.0
-10.98,-19.904,-19904.0,0.0
-10.96,-19.884,-19884.0,0.0
-10.94,-19.863999999999997,-19863.999999999996,0.0
-10.92,-19.844,-19844.0,0.0
-10.9,-19.823999999999998,-19823.999999999996,0.0
-10.88,-19.804000000000002,-19804.000000000004,0.0
-10.86,-19.784,-19784.0,0.0
-10.84,-19.764,-19764.0,0.0
-10.82,-19.744,-19744.0,0.0
-10.8,-19.724,-19724.0,0.0
-10.78,-19.704,-19704.0,0.0
-10.76,-19.683999999999997,-19683.999999999996,0.0
-10.74,-19.664,-19664.0,0.0
-10.72,-19.644,-19644.0,0.0
-10.7,-19.624,-19624.0,0.0
-10.68,-19.604,-19604.0,0.0
-10.66,-19.584,-19584.0,0.0
-10.64,-19.564,-19564.0,0.0
-10.62,-19.543999999999997,-19543.999999999996,0.0
-10.6,-19.524,-19524.0,0.0
-10.58,-19.503999999999998,-19503.999999999996,0.0
-10.56,-19.484,-19484.0,0.0
-10.54,-19.464,-19464.0,0.0
-10.52,-19.444,-19444.0,0.0
-10.5,-19.424,-19424.0,0.0
-10.48,-19.404,-19404.0,0.0
-10.46,-19.384,-19384.0,0.0
-10.44,-19.363999999999997,-19363.999999999996,0.0
-10.42,-19.344,-19344.0,0.0
-10.4,-19.323999999999998,-19323.999999999996,0.0
-10.38,-19.304000000000002,-19304.000000000004,0.0
-10.36,-19.284,-19284.0,0.0
-10.34,-19.264,-19264.0,0.0
-10.32,-19.244,-19244.0,0.0
-10.3,-19.224,-19224.0,0.0
-10.28,-19.204,-19204.0,0.0
-10.26,-19.183999999999997,-19183.999999999996,0.0
-10.24,-19.164,-19164.0,0.0
-10.22,-19.144,-19144.0,0.0
-10.2,-19.124,-19124.0,0.0
-10.18,-19.104,-19104.0,0.0
-10.16,-19.084,-19084.0,0.0
-10.14,-19.064,-19064.0,0.0
-10.12,-19.043999999999997,-19043.999999999996,0.0
-10.1,-19.024,-19024.0,0.0
-10.08,-19.003999999999998,-19003.999999999996,0.0
-10.06,-18.984,-18984.0,0.0
-10.04,-18.964,-18964.0,0.0
-10.02,-18.944,-18944.0,0.0
-10.0,-18.924,-18924.0,0.0
-9.98,-18.904,-18904.0,0.0
-9.96,-18.884,-18884.0,0.0
-9.94,-18.863999999999997,-18863.999999999996,0.0
-9.92,-18.844,-18844.0,0.0
-9.9,-18.823999999999998,-18823.999999999996,0.0
-9.88,-18.804000000000002,-18804.000000000004,0.0
-9.86,-18.784,-18784.0,0.0
-9.84,-18.764,-18764.0,0.0
-9.82,-18.744,-18744.0,0.0
-9.8,-18.724,-18724.0,0.0
-9.78,-18.704,-18704.0,0.0
-9.76,-18.683999999999997,-18683.999999999996,0.0
-9.74,-18.664,-18664.0,0.0
-9.72,-18.644,-18644.0,0.0
-9.7,-18.624,-18624.0,0.0
-9.68,-18.604,-18604.0,0.0
-9.66,-18.584,-18584.0,0.0
-9.64,-18.564,-18564.0,0.0
-9.62,-18.543999999999997,-18543.999999999996,0.0
-9.6,-18.524,-18524.0,0.0
-9.58,-18.503999999999998,-18503.999999999996,0.0
-9.56,-18.484,-18484.0,0.0
-9.54,-18.464,-18464.0,0.0
-9.52,-18.444,-18444.0,0.0
-9.5,-18.424,-18424.0,0.0
-9.48,-18.404,-18404.0,0.0
-9.46,-18.384,-18384.0,0.0
-9.44,-18.363999999999997,-18363.999999999996,0.0
-9.42,-18.344,-18344.0,0.0
-9.4,-18.323999999999998,-18323.999999999996,0.0
-9.38,-18.304000000000002,-18304.000000000004,0.0
-9.36,-18.284,-18284.0,0.0
-9.34,-18.264,-18264.0,0.0
-9.32,-18.244,-18244.0,0.0
-9.3,-18.224,-18224.0,0.0
-9.28,-18.204,-18204.0,0.0
-9.26,-18.183999999999997,-18183.999999999996,0.0
-9.24,-18.164,-18164.0,0.0
-9.22,-18.144,-18144.0,0.0
-9.2,-18.124,-18124.0,0.0
-9.18,-18.104,-18104.0,0.0
-9.16,-18.084,-18084.0,0.0
-9.14,-18.064,-18064.0,0.0
-9.12,-18.043999999999997,-18043.999999999996,0.0
-9.1,-18.024,-18024.0,0.0
-9.08,-18.003999999999998,-18003.999999999996,0.0
-9.06,-17.984,-17984.0,0.0
-9.04,-17.964,-17964.0,0.0
-9.02,-17.944,-17944.0,0.0
-9.0,-17.924,-17924.0,0.0
-8.98,-17.904,-17904.0,0.0
-8.96,-17.884,-17884.0,0.0
-8.94,-17.863999999999997,-17863.999999999996,0.0
-8.92,-17.844,-17844.0,0.0
-8.9,-17.823999999999998,-17823.999999999996,0.0
-8.88,-17.804000000000002,-17804.000000000004,0.0
-8.86,-17.784,-17784.0,0.0
-8.84,-17.764,-17764.0,0.0
-8.82,-17.744,-17744.0,0.0
-8.8,-17.724,-17724.0,0.0
-8.78,-17.704,-17704.0,0.0
-8.76,-17.683999999999997,-17683.999999999996,0.0
-8.74,-17.664,-17664.0,0.0
-8.72,-17.644,-17644.0,0.0
-8.7,-17.624,-17624.0,0.0
-8.68,-17.604,-17604.0,0.0
-8.66,-17.584,-17584.0,0.0
-8.64,-17.564,-17564.0,0.0
-8.62,-17.543999999999997,-17543.999999999996,0.0
-8.6,-17.524,-17524.0,0.0
-8.58,-17.503999999999998,-17503.999999999996,0.0
-8.56,-17.484,-17484.0,0.0
-8.54,-17.464,-17464.0,0.0
-8.52,-17.444,-17444.0,0.0
-8.5,-17.424,-17424.0,0.0
-8.48,-17.404,-17404.0,0.0
-8.46,-17.384,-17384.0,0.0
-8.44,-17.363999999999997,-17363.999999999996,0.0
-8.42,-17.344,-17344.0,0.0
-8.4,-17.323999999999998,-17323.999999999996,0.0
-8.38,-17.304000000000002,-17304.000000000004,0.0
-8.36,-17.284,-17284.0,0.0
-8.34,-17.264,-17264.0,0.0
-8.32,-17.244,-17244.0,0.0
-8.3,-17.224,-17224.0,0.0
-8.28,-17.204,-17204.0,0.0
-8.26,-17.183999999999997,-17183.999999999996,0.0
-8.24,-17.164,-17164.0,0.0
-8.22,-17.144,-17144.0,0.0
-8.2,-17.124,-17124.0,0.0
-8.18,-17.104,-17104.0,0.0
-8.16,-17.084,-17084.0,0.0
-8.14,-17.064,-17064.0,0.0
-8.12,-17.043999999999997,-17043.999999999996,0.0
-8.1,-17.024,-17024.0,0.0
-8.08,-17.003999999999998,-17003.999999999996,0.0
-8.06,-16.984,-16984.0,0.0
-8.04,-16.964,-16964.0,0.0
-8.02,-16.944,-16944.0,0.0
-8.0,-16.924,-16924.0,0.0
-7.98,-16.904,-16904.0,0.0
-7.96,-16.884,-16884.0,0.0
-7.94,-16.864,-16864.0,0.0
-7.92,-16.844,-16844.0,0.0
-7.9,-16.823999999999998,-16823.999999999996,0.0
-7.88,-16.804,-16804.0,0.0
-7.86,-16.784,-16784.0,0.0
-7.84,-16.764,-16764.0,0.0
-7.82,-16.744,-16744.0,0.0
-7.8,-16.724,-16724.0,0.0
-7.78,-16.704,-16704.0,0.0
-7.76,-16.683999999999997,-16683.999999999996,0.0
-7.74,-16.664,-16664.0,0.0
-7.72,-16.644,-16644.0,0.0
-7.7,-16.624,-16624.0,0.0
-7.68,-16.604,-16604.0,0.0
-7.66,-16.584,-16584.0,0.0
-7.64,-16.564,-16564.0,0.0
-7.62,-16.544,-16544.0,0.0
-7.6,-16.524,-16524.0,0.0
-7.58,-16.503999999999998,-16503.999999999996,0.0
-7.56,-16.483999999999998,-16484.0,0.0
-7.54,-16.464,-16464.0,0.0
-7.52,-16.444,-16444.0,0.0
-7.5,-16.424,-16424.0,0.0
-7.48,-16.404,-16404.0,0.0
-7.46,-16.384,-16384.0,0.0
-7.44,-16.364,-16364.0,0.0
-7.42,-16.344,-16344.000000000002,0.0
-7.4,-16.323999999999998,-16323.999999999998,0.0
-7.38,-16.304,-16303.999999999998,0.0
-7.36,-16.284,-16283.999999999998,0.0
-7.34,-16.264,-16264.0,0.0
-7.32,-16.244,-16244.0,0.0
-7.3,-16.224,-16224.0,0.0
-7.28,-16.204,-16204.0,0.0
-7.26,-16.183999999999997,-16183.999999999998,0.0
-7.24,-16.164,-16164.000000000002,0.0
-7.22,-16.144,-16143.999999999998,0.0
-7.2,-16.124,-16123.999999999998,0.0
-7.18,-16.104,-16104.0,0.0
-7.16,-16.084,-16084.0,0.0
-7.14,-16.064,-16064.0,0.0
-7.12,-16.044,-16044.0,0.0
-7.1,-16.024,-16024.0,0.0
